id_localidade,cep_prefix,cidade,estado,lat,lng,fl_sp_capital
1,1001,sao paulo,SP,-23.55019,-46.634024,S
2,1002,sao paulo,SP,-23.548146,-46.634979,S
3,1003,sao paulo,SP,-23.548994,-46.635731,S
4,1004,sao paulo,SP,-23.549799,-46.634757,S
5,1005,sao paulo,SP,-23.549456,-46.636733,S
6,1006,sao paulo,SP,-23.550102,-46.636137,S
7,1007,sao paulo,SP,-23.550046,-46.637251,S
8,1008,sao paulo,SP,-23.546002,-46.635886,S
9,1009,sao paulo,SP,-23.546835,-46.636491,S
10,1010,sao paulo,SP,-23.546389,-46.635226,S
11,1011,sao paulo,SP,-23.546909,-46.635582,S
12,1012,sao paulo,SP,-23.54779,-46.634859,S
13,1013,sao paulo,SP,-23.547142,-46.634236,S
14,1014,sao paulo,SP,-23.545913,-46.633615,S
15,1015,sao paulo,SP,-23.547666,-46.631559,S
16,1016,são paulo,SP,-23.548976,-46.632352,N
17,1017,sao paulo,SP,-23.549531,-46.631024,S
18,1018,são paulo,SP,-23.550929,-46.632431,N
19,1019,sao paulo,SP,-23.551774,-46.630893,S
20,1020,sao paulo,SP,-23.552336,-46.63005,S
21,1021,sao paulo,SP,-23.543,-46.632143,S
22,1022,sao paulo,SP,-23.544922,-46.631931,S
23,1023,são paulo,SP,-23.542331,-46.631373,N
24,1024,sao paulo,SP,-23.541401,-46.629904,S
25,1025,são paulo,SP,-23.540292,-46.630928,N
26,1026,sao paulo,SP,-23.539657,-46.631884,S
27,1027,são paulo,SP,-23.538082,-46.630669,N
28,1028,sao paulo,SP,-23.535933,-46.633555,S
29,1029,sao paulo,SP,-23.541373,-46.633416,S
30,1030,são paulo,SP,-23.539549,-46.633023,N
31,1031,sao paulo,SP,-23.541906,-46.635088,S
32,1032,sao paulo,SP,-23.540124,-46.635194,S
33,1033,sao paulo,SP,-23.539271,-46.635878,S
34,1034,sao paulo,SP,-23.542515,-46.637367,S
35,1035,sao paulo,SP,-23.541614,-46.641549,S
36,1036,sao paulo,SP,-23.541648,-46.641443,S
37,1037,sao paulo,SP,-23.545411,-46.638924,S
38,1038,sao paulo,SP,-23.543907,-46.639994,S
39,1039,sao paulo,SP,-23.541371,-46.639165,S
40,1040,sao paulo,SP,-23.541028,-46.638325,S
41,1041,sao paulo,SP,-23.543905,-46.640046,S
42,1042,sao paulo,SP,-23.544853,-46.64041,S
43,1043,são paulo,SP,-23.545766,-46.641502,N
44,1044,sao paulo,SP,-23.545598,-46.641453,S
45,1045,sao paulo,SP,-23.542345,-46.642527,S
46,1046,sao paulo,SP,-23.54593,-46.643998,S
47,1047,sao paulo,SP,-23.546188,-46.641067,S
48,1048,sao paulo,SP,-23.547113,-46.63984,S
49,1049,sao paulo,SP,-23.547011,-46.639166,S
50,1050,sao paulo,SP,-23.549229,-46.64303,S
51,1101,sao paulo,SP,-23.528287,-46.631958,S
52,1102,sao paulo,SP,-23.525571,-46.630287,S
53,1103,são paulo,SP,-23.535468,-46.630291,N
54,1104,sao paulo,SP,-23.534952,-46.62957,S
55,1105,sao paulo,SP,-23.534094,-46.629078,S
56,1106,sao paulo,SP,-23.530221,-46.628221,S
57,1107,sao paulo,SP,-23.526088,-46.62959,S
58,1108,sao paulo,SP,-23.527232,-46.630354,S
59,1109,sao paulo,SP,-23.524625,-46.627103,S
60,1120,sao paulo,SP,-23.530163,-46.639511,S
61,1121,sao paulo,SP,-23.527867,-46.635257,S
62,1122,sao paulo,SP,-23.531131,-46.638325,S
63,1123,sao paulo,SP,-23.529165,-46.636582,S
64,1124,sao paulo,SP,-23.528221,-46.633095,S
65,1125,sao paulo,SP,-23.527288,-46.640164,S
66,1126,sao paulo,SP,-23.527067,-46.639153,S
67,1127,sao paulo,SP,-23.525481,-46.641595,S
68,1128,sao paulo,SP,-23.523787,-46.64221,S
69,1129,sao paulo,SP,-23.524051,-46.645073,S
70,1130,sao paulo,SP,-23.524831,-46.64493,S
71,1131,sao paulo,SP,-23.52238,-46.643108,S
72,1132,sao paulo,SP,-23.52154,-46.648739,S
73,1133,sao paulo,SP,-23.520424,-46.653322,S
74,1134,sao paulo,SP,-23.5189,-46.65269,S
75,1135,sao paulo,SP,-23.52619,-46.65097,S
76,1136,sao paulo,SP,-23.523987,-46.661351,S
77,1137,sao paulo,SP,-23.522851,-46.652809,S
78,1138,sao paulo,SP,-23.522456,-46.655254,S
79,1139,sao paulo,SP,-23.520725,-46.665939,S
80,1140,sao paulo,SP,-23.520438,-46.669237,S
81,1141,sao paulo,SP,-23.52031,-46.666439,S
82,1142,sao paulo,SP,-23.519934,-46.62513,S
83,1144,sao paulo,SP,-23.523573,-46.672425,S
84,1150,sao paulo,SP,-23.532953,-46.658246,S
85,1151,sao paulo,SP,-23.531642,-46.656289,S
86,1152,sao paulo,SP,-23.529885,-46.655276,S
87,1153,são paulo,SP,-23.529931,-46.653549,N
88,1154,sao paulo,SP,-23.530536,-46.659296,S
89,1155,sao paulo,SP,-23.529073,-46.66332,S
90,1156,sao paulo,SP,-23.528921,-46.666437,S
